匧	12
匨	40
匩	17
匫	27
匬	146
匰	90
匲	31
匳	25
匴	294
匵	37
匶	10
匷	56
匸	74
匼	200
匽	59
卂	210
卆	51
卋	527
卌	272
卍	5466
卐	2093
単	2306
卙	30
卛	162
卝	531
卥	57
卨	417
卪	228
卭	85
卲	1141
卶	52
卼	203
卽	80
卾	178
厀	299
厁	11
厃	53
厇	24
厈	17
厊	41
厎	481
厏	18
厐	625
厑	286
厒	61
厓	801
厔	96
厖	70
厗	32
厛	753
厜	308
厞	71
厡	956
厤	283
厧	34
厪	34
厫	40
厬	48
厯	55
厰	743
厱	54
厳	819
厵	84
厷	3431
厸	154
厹	35
厺	242
厼	420
厽	39
厾	585
叀	117
叄	418
叅	325
叆	883
叇	299
収	1705
叏	682
叐	552
叒	180
叓	105
叕	609
叚	471
叜	22
叝	14
叞	147
叧	332
叴	298
叺	266
叾	979
叿	362
吀	254
吂	1459
吅	256
吇	528
吋	7995
吔	1711
吘	77
吙	16496
吚	557
吜	78
吢	3345
吤	533
吥	6405
吪	116
吰	198
吷	63
吺	39
吽	1787
吿	1379
呁	87
呄	92
呅	20240
呇	71
呉	622
呌	49
呍	34
呎	1179
呏	29
呑	1194
呚	25
呝	38
呞	46
呟	33
呠	52
呡	69
呣	349
呥	19
呧	116
呩	444
呪	1699
呫	175
呬	594
呭	682
呮	1090
呯	1231
呰	799
呴	1157
呹	94
呺	2141
呾	57
呿	1010
咁	7651
咃	342
咅	59
咇	90
咈	116
咉	66
咊	105
咍	112
咑	1190
咓	81
咗	1912
咘	491
咜	235
咞	11
咟	75
咠	19
咡	108
咢	227
咥	264
咮	66
咰	44
咲	47760
咵	376
咶	31
咹	408
咺	9195
咾	635
哃	452
哅	55
哊	446
哋	6255
哖	2454
哘	945
哛	33
哠	174
哢	45
哣	94
哤	59
哫	310
哬	502
哯	166
哰	40
哱	71
哴	135
哵	17
哶	14
哷	23
哸	8
哹	48
哻	7
哾	199
唀	21
唂	144
唃	33
唅	207
唈	34
唊	44
唋	31
唌	45
唍	277
唎	286
唒	23
唓	84
唕	25
唖	93
唗	74
唘	70
唙	38
唚	118
唜	14
唝	103
唞	33
唡	38
唥	120
唦	388
唨	32
唩	61
唫	492
唭	148
唲	973
唴	191
唵	2674
唶	163
唸	1
唹	34
唺	47
唻	4309
唽	472
啀	49
啂	89
啅	61
啇	248
啈	560
啋	125
啌	124
啍	72
啎	21
啑	48
啒	16
啔	19
啘	91
啙	117
啚	40
啛	126
啝	1629
啟	1
啠	42
啢	20
啨	320
啩	136
啫	30576
啯	2135
啰	13245
啱	231
啲	4911
啳	19
啴	290
啹	48
啺	75
啽	46
啿	36
喅	60
喆	90024
喌	788
喍	40
喎	131
喐	220
喒	60
喓	716
喕	63
喖	60
喗	28
喛	145
喞	32
喠	251
喡	45
喢	34
喣	85
喤	180
喥	1426
喦	457
喨	223
喩	69
喭	24
喯	220
喰	3796
喴	39
営	755
喸	37
喺	525
喼	131
喿	59
嗀	34
嗁	10
嗂	23
嗃	21
嗈	19
嗊	39
嗋	1
嗏	316
嗐	319
嗕	239
嗗	1072
嗘	849
嗙	624
嗛	1779
嗞	1480
嗠	446
嗢	182
嗧	55
嗭	53
嗮	1898
嗰	8377
嗱	1016
嗴	6
嗸	20
嗹	238
嗺	35
嗻	146
嗼	323
嗿	74
嘂	168
嘃	27
嘄	38
嘅	1638
嘇	84
嘊	87
嘋	64
嘐	33
嘑	19
嘒	71
嘓	51
嘕	63
嘙	460
嘚	11915
嘝	5
嘠	4577
嘡	550
嘢	4150
嘥	112
嘦	129
嘨	164
嘪	67
嘫	581
嘳	30
嘷	113
嘺	13
嘼	990
嘽	34
嘾	31
噀	114
